,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
266,la rochelle,FR,46.1667,-1.15,288.19,77,75,8.75,light rain
267,quatre cocos,MU,-20.2078,57.7625,299.31,54,25,3.98,scattered clouds
268,deshnok,IN,27.7986,73.3447,299.34,22,0,1.16,clear sky
269,kpandu,GH,6.9954,0.2931,296.87,80,26,0.97,scattered clouds
270,walvis bay,NA,-22.9575,14.5053,288.76,88,40,4.12,scattered clouds
271,santa isabel do rio negro,BR,-0.4139,-65.0192,295.89,99,100,0.53,overcast clouds
272,atar,MR,20.5169,-13.0499,295.35,29,0,4.13,clear sky
273,ixtapa,MX,20.7,-105.2,295.5,83,0,0.89,clear sky
274,bang krathum,TH,16.5783,100.3003,306.47,64,76,1.43,broken clouds
275,yenagoa,NG,4.9247,6.2642,298.84,82,11,1.44,few clouds
276,viseu,PT,40.661,-7.9097,288.63,91,97,3.98,overcast clouds
277,hambantota,LK,6.1241,81.1185,303.34,74,40,1.54,scattered clouds
278,lorengau,PG,-2.0226,147.2712,301.73,65,100,3.49,overcast clouds
279,paamiut,GL,61.994,-49.6678,259.98,71,52,3.31,broken clouds
280,gaya,IN,24.7833,85.0,301.1,42,0,0.0,haze
281,summerside,CA,46.3959,-63.7876,286.64,100,100,7.72,overcast clouds
282,kundiawa,PG,-6.0167,144.9667,293.19,92,100,0.77,overcast clouds
283,grindavik,IS,63.8424,-22.4338,282.41,76,75,9.77,light rain
284,belmonte,BR,-15.8631,-38.8828,296.47,92,100,1.93,overcast clouds
285,sarh,TD,9.1429,18.3923,294.1,88,0,1.54,clear sky
286,gomez palacio,MX,25.5667,-103.5,282.52,61,19,1.42,few clouds
287,plettenberg bay,ZA,-34.0527,23.3716,291.94,65,88,2.87,overcast clouds
288,itupiranga,BR,-5.1347,-49.3267,299.33,91,100,0.57,overcast clouds
289,guerrero negro,MX,27.9769,-114.0611,289.46,41,0,0.48,clear sky
290,saint-joseph,RE,-21.3667,55.6167,298.36,62,11,2.38,few clouds
291,moose factory,CA,51.2585,-80.6094,264.15,85,100,3.09,overcast clouds
292,medicine hat,CA,50.0501,-110.6683,265.77,79,100,8.23,overcast clouds
293,derzhavinsk,KZ,51.1,66.3167,266.77,82,100,4.67,overcast clouds
294,port lincoln,AU,-34.7333,135.8667,290.81,60,94,7.19,overcast clouds
295,manokwari,ID,-0.8667,134.0833,301.77,79,61,3.96,broken clouds
296,alice springs,AU,-23.7,133.8833,302.9,32,75,5.66,broken clouds
297,yerbogachen,RU,61.2767,108.0108,260.99,94,100,1.49,light snow
298,mwinilunga,ZM,-11.7358,24.4293,294.02,76,97,0.62,overcast clouds
299,rylsk,RU,51.5655,34.6822,271.16,89,100,5.5,light snow
300,liepaja,LV,56.5419,21.0367,272.14,80,100,4.12,overcast clouds
301,peniche,PT,39.3558,-9.3811,291.54,96,11,7.88,few clouds
302,gat,IL,31.61,34.7642,292.26,100,68,3.55,broken clouds
303,buchanan,LR,5.8808,-10.0467,297.06,91,36,1.5,scattered clouds
304,narsaq,GL,60.9167,-46.05,267.27,88,16,2.72,few clouds
305,anadia,BR,-9.6844,-36.3042,294.17,97,40,1.98,scattered clouds
306,olafsvik,IS,64.8945,-23.7142,280.13,78,98,10.37,overcast clouds
307,klaksvik,FO,62.2266,-6.589,282.66,87,75,18.28,broken clouds
308,kismayo,SO,-0.3582,42.5454,301.48,68,73,3.48,broken clouds
309,voh,NC,-20.9667,164.7,299.4,80,100,1.67,overcast clouds
310,fortuna,US,40.5982,-124.1573,278.66,100,0,4.12,clear sky
311,ketchikan,US,55.3422,-131.6461,277.85,85,6,2.61,clear sky
312,acarau,BR,-2.8856,-40.12,298.32,78,59,5.39,broken clouds
313,saint-lo,FR,49.1162,-1.0903,283.39,85,87,7.42,light rain
314,lasa,IT,46.6166,10.7002,278.64,70,98,0.95,overcast clouds
315,egvekinot,RU,66.3167,-179.1667,270.88,99,100,1.9,snow
316,san jose,US,37.3394,-121.895,288.05,48,0,1.54,clear sky
317,dronninglund,DK,57.1604,10.2929,279.7,58,100,12.15,overcast clouds
318,guayaquil,EC,-2.1667,-79.9,296.13,78,75,3.6,broken clouds
319,ouadda,CF,8.0777,22.4007,300.05,29,100,2.97,overcast clouds
320,east london,ZA,-33.0153,27.9116,292.67,88,75,1.54,broken clouds
321,aklavik,CA,68.2191,-135.0107,260.15,85,0,2.06,clear sky
322,vryburg,ZA,-26.9566,24.7284,300.44,15,0,1.25,clear sky
323,cedar city,US,37.6775,-113.0619,267.69,80,0,1.54,clear sky
324,jacareacanga,BR,-6.2222,-57.7528,295.49,97,100,0.39,overcast clouds
325,lichuan,CN,30.3,108.85,285.45,73,100,2.25,overcast clouds
326,alekseyevka,RU,50.6309,38.6903,272.41,98,100,4.93,light snow
327,aksarka,RU,66.5606,67.7975,259.47,86,100,6.34,overcast clouds
328,canavieiras,BR,-15.675,-38.9472,295.96,94,100,1.54,overcast clouds
329,pevek,RU,69.7008,170.3133,252.66,100,94,2.28,overcast clouds
330,hervey bay,AU,-25.2986,152.8535,297.05,53,94,4.02,overcast clouds
331,vershino-darasunskiy,RU,52.35,115.5167,271.15,61,0,3.81,clear sky
332,vestmanna,FO,62.1564,-7.1664,281.66,93,75,13.89,broken clouds
333,toropets,RU,56.4978,31.6353,270.88,91,100,2.35,light snow
334,binzhou,CN,37.3667,118.0167,291.95,23,0,1.83,clear sky
335,hamilton,US,39.1834,-84.5333,272.5,78,100,5.14,overcast clouds
336,qaqortoq,GL,60.7167,-46.0333,257.69,90,9,2.12,clear sky
337,lebu,CL,-37.6167,-73.65,285.94,94,56,3.56,broken clouds
338,te horo,NZ,-40.8084,175.1233,289.71,92,100,0.45,moderate rain
339,bereslavka,RU,48.6254,44.0449,275.58,76,100,4.51,overcast clouds
340,pitimbu,BR,-7.4706,-34.8086,297.48,80,21,4.0,few clouds
341,avera,US,33.194,-82.5271,280.88,49,100,5.98,overcast clouds
342,namibe,AO,-15.1961,12.1522,294.87,72,74,0.2,broken clouds
343,turan,VN,16.0678,108.2208,301.14,74,75,1.54,broken clouds
344,marabba,SD,12.35,32.1833,300.27,20,52,7.11,broken clouds
345,belaya kholunitsa,RU,58.84,50.8528,264.99,83,84,3.04,broken clouds
346,mahibadhoo,MV,3.7833,72.9667,300.32,79,100,6.21,overcast clouds
347,whitehorse,CA,60.7161,-135.0538,265.58,93,100,5.14,overcast clouds
348,miguel hidalgo,MX,19.4225,-99.2028,288.39,63,11,0.45,few clouds
349,riyadh,SA,24.6877,46.7219,296.23,19,79,8.02,broken clouds
350,pokrovskoye,RU,47.4157,38.8971,281.21,96,97,3.91,light rain
351,borogontsy,RU,62.6683,131.1683,242.15,94,45,3.56,scattered clouds
352,bowen,AU,-20.0167,148.2333,299.37,71,29,8.16,scattered clouds
353,salym,RU,60.0625,71.4789,255.15,87,16,0.69,few clouds
354,laguna,US,38.421,-121.4238,284.86,79,0,2.57,clear sky
355,namatanai,PG,-3.6667,152.4333,301.06,74,100,4.55,overcast clouds
356,birobidzhan,RU,48.8,132.95,270.0,78,92,1.76,overcast clouds
