,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
126,sitka,US,279.09,clear sky,57.0531,-135.33,Westmark Sitka
127,ahipara,NZ,290.45,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
128,souillac,MU,297.36,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
130,hovd,MN,276.26,overcast clouds,48.0056,91.6419,Hotel Buyant
132,narok,KE,289.1,light rain,-1.0783,35.8601,OLORROPIL TOWERS
134,balakliya,UA,278.47,overcast clouds,49.4627,36.8595,Hotelʹ Yuvileynyy
135,entre rios,BR,293.96,scattered clouds,-11.9419,-38.0844,Pousada Porteira
137,avarua,CK,296.18,few clouds,-21.2078,-159.775,Paradise Inn
140,havelock,US,284.14,clear sky,34.8791,-76.9013,Sherwood Motel
141,rosamorada,MX,292.19,clear sky,22.1222,-105.2058,Hotel Gonzalez
142,brunico,IT,278.75,overcast clouds,46.7958,11.9364,Hotel Post
143,liverpool,GB,282.12,light rain,53.4106,-2.9779,Premier Inn Liverpool City Centre (Moorfields) hotel
147,lucapa,AO,294.7,overcast clouds,-8.4192,20.7447,Lírio Mendes
150,bonavista,CA,273.72,light snow,48.6499,-53.1147,Sweet Sharons bnb
152,portland,US,277.23,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
156,izumo,JP,289.12,broken clouds,35.3667,132.7667,Toyoko-Inn Izumoshi ekimae
157,sao felix do xingu,BR,294.81,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
158,de aar,ZA,296.37,scattered clouds,-30.6497,24.0123,Nyibiba Guesthouse
159,umm kaddadah,SD,295.48,overcast clouds,13.6017,26.6876,Bredasdorp Country Manor
160,vardo,NO,277.14,overcast clouds,70.3705,31.1107,Vardø Hotel AS
163,nocupetaro,MX,294.68,few clouds,19.05,-101.15,"Hotel ""La Casa Embrujada"""
167,russell,US,280.75,broken clouds,32.3502,-85.1999,Macs
168,touros,BR,297.87,clear sky,-5.1989,-35.4608,INN NEW HORIZON
174,castro,BR,283.19,clear sky,-24.7911,-50.0119,CHACARA BAILLY
177,airai,TL,296.62,light rain,-8.9266,125.4092,Bredasdorp Country Manor
179,sao joao de pirabas,BR,297.75,overcast clouds,-0.7747,-47.1772,POUSADA SOL E MAR
182,seoul,KR,289.81,few clouds,37.5683,126.9778,LOTTE HOTEL SEOUL
183,amarante do maranhao,BR,297.38,overcast clouds,-5.5667,-46.7422,Hotéis Caçulinha
184,kaitangata,NZ,285.11,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
